cmapSize, cmapNo, bufferSize, decayFactor, rebuildThreshold, ed, mem
10, 3, 70, 2.0, 0.01, 0.024573785685084736, 2952
10, 3, 70, 2.0, 0.09, 0.03718466123441396, 2952
10, 3, 70, 2.0, 0.3, 0.030751171756100405, 2952
10, 3, 70, 2.0, 0.5, 0.2713090209258545, 2952
10, 3, 70, 2.0, 0.7, 0.2713090209258545, 2952
10, 3, 70, 2.5, 0.01, 0.024395899934567533, 2952
10, 3, 70, 2.5, 0.09, 0.03588390822732257, 2952
10, 3, 70, 2.5, 0.3, 0.023616107351227465, 2952
10, 3, 70, 2.5, 0.5, 0.2713090209258545, 2952
10, 3, 70, 2.5, 0.7, 0.2713090209258545, 2952
10, 3, 120, 0.2, 0.01, 0.056308779846558694, 2952
10, 3, 120, 0.2, 0.09, 0.08636569155146816, 2952
10, 3, 120, 0.2, 0.3, 0.08636569155146816, 2952
10, 3, 120, 0.2, 0.5, 0.2713090209258545, 2952
10, 3, 120, 0.2, 0.7, 0.2713090209258545, 1992
10, 3, 120, 0.5, 0.01, 0.0715048384151325, 2952
10, 3, 120, 0.5, 0.09, 0.07097021683879026, 2952
10, 3, 120, 0.5, 0.3, 0.07097021683879026, 2952
10, 3, 120, 0.5, 0.5, 0.2713090209258545, 2952
10, 3, 120, 0.5, 0.7, 0.2713090209258545, 1992
10, 3, 120, 1.0, 0.01, 0.06043082109876367, 2952
10, 3, 120, 1.0, 0.09, 0.053391505050350244, 2952
10, 3, 120, 1.0, 0.3, 0.053391505050350244, 2952
10, 3, 120, 1.0, 0.5, 0.2713090209258545, 2952
10, 3, 120, 1.0, 0.7, 0.2713090209258545, 1992
10, 3, 120, 2.0, 0.01, 0.02147850367949203, 2952
10, 3, 120, 2.0, 0.09, 0.029617197699394596, 2952
10, 3, 120, 2.0, 0.3, 0.029617197699394596, 2952
10, 3, 120, 2.0, 0.5, 0.2713090209258545, 2952
10, 3, 120, 2.0, 0.7, 0.2713090209258545, 1992
10, 3, 120, 2.5, 0.01, 0.020223931795565576, 2952
10, 3, 120, 2.5, 0.09, 0.0226820404791724, 2952
10, 3, 120, 2.5, 0.3, 0.0226820404791724, 2952
10, 3, 120, 2.5, 0.5, 0.2713090209258545, 2952
10, 3, 120, 2.5, 0.7, 0.2713090209258545, 1992
10, 3, 150, 0.2, 0.01, 0.03427505641236776, 2952
10, 3, 150, 0.2, 0.09, 0.08222609230428281, 2952
10, 3, 150, 0.2, 0.3, 0.08222609230428281, 2952
10, 3, 150, 0.2, 0.5, 0.2713090209258545, 2952
10, 3, 150, 0.2, 0.7, 0.2713090209258545, 1992
10, 3, 150, 0.5, 0.01, 0.031763393539859554, 2952
10, 3, 150, 0.5, 0.09, 0.06822626130278632, 2952
10, 3, 150, 0.5, 0.3, 0.06822626130278632, 2952
10, 3, 150, 0.5, 0.5, 0.2713090209258545, 2952
10, 3, 150, 0.5, 0.7, 0.2713090209258545, 1992
10, 3, 150, 1.0, 0.01, 0.030829644623805046, 2952
10, 3, 150, 1.0, 0.09, 0.051615633834601195, 2952
10, 3, 150, 1.0, 0.3, 0.051615633834601195, 2952
10, 3, 150, 1.0, 0.5, 0.2713090209258545, 2952
10, 3, 150, 1.0, 0.7, 0.2713090209258545, 1992
10, 3, 150, 2.0, 0.01, 0.022350293330700585, 2952
10, 3, 150, 2.0, 0.09, 0.02874626165744813, 2952
10, 3, 150, 2.0, 0.3, 0.02874626165744813, 2952
10, 3, 150, 2.0, 0.5, 0.2713090209258545, 2952
10, 3, 150, 2.0, 0.7, 0.2713090209258545, 1992
10, 3, 150, 2.5, 0.01, 0.019318789358257343, 2952
10, 3, 150, 2.5, 0.09, 0.022305593210353022, 2952
10, 3, 150, 2.5, 0.3, 0.022305593210353022, 2952
10, 3, 150, 2.5, 0.5, 0.2713090209258545, 2952
10, 3, 150, 2.5, 0.7, 0.2713090209258545, 1992
10, 5, 10, 0.2, 0.01, 0.12040311178451771, 4872
10, 5, 10, 0.2, 0.09, 0.11863879787117662, 4872
10, 5, 10, 0.2, 0.3, 0.11843234232479391, 4872
10, 5, 10, 0.2, 0.5, 0.2713090209258545, 4872
10, 5, 10, 0.2, 0.7, 0.2713090209258545, 4872
10, 5, 10, 0.5, 0.01, 0.10956661331097431, 4872
10, 5, 10, 0.5, 0.09, 0.10864803716609327, 4872
10, 5, 10, 0.5, 0.3, 0.12284944023264888, 4872
10, 5, 10, 0.5, 0.5, 0.2713090209258545, 4872
10, 5, 10, 0.5, 0.7, 0.2713090209258545, 4872
10, 5, 10, 1.0, 0.01, 0.09522761297110663, 4872
10, 5, 10, 1.0, 0.09, 0.09242521042669154, 4872
10, 5, 10, 1.0, 0.3, 0.0982932128647856, 4872
10, 5, 10, 1.0, 0.5, 0.2713090209258545, 4872
10, 5, 10, 1.0, 0.7, 0.2713090209258545, 4872
10, 5, 10, 2.0, 0.01, 0.0651029297968259, 4872
10, 5, 10, 2.0, 0.09, 0.06462790797082311, 4872
10, 5, 10, 2.0, 0.3, 0.08996542372349713, 4872
10, 5, 10, 2.0, 0.5, 0.2713090209258545, 4872
10, 5, 10, 2.0, 0.7, 0.2713090209258545, 4872
10, 5, 10, 2.5, 0.01, 0.06443772877620511, 4872
10, 5, 10, 2.5, 0.09, 0.06472783341671737, 4872
10, 5, 10, 2.5, 0.3, 0.0710825946574114, 4872
10, 5, 10, 2.5, 0.5, 0.2713090209258545, 4872
10, 5, 10, 2.5, 0.7, 0.2713090209258545, 4872
10, 5, 30, 0.2, 0.01, 0.11344435731238514, 4872
10, 5, 30, 0.2, 0.09, 0.09972715491919959, 4872
10, 5, 30, 0.2, 0.3, 0.09698857269029053, 4872
10, 5, 30, 0.2, 0.5, 0.2713090209258545, 4872
